Timepoint Replicate Haplotype Freq
0 1 0000 0.996713939813213
0 1 0001 1e-04
0 1 0010 1e-04
0 1 0011 1e-04
0 1 0100 0.00121065375302663
0 1 0101 1e-04
0 1 0110 1e-04
0 1 0111 1e-04
0 1 1000 0.00207540643375994
0 1 1001 1e-04
0 1 1010 1e-04
0 1 1011 1e-04
0 1 1100 1e-04
0 1 1101 1e-04
0 1 1111 1e-04
0 2 0000 0.997331240188383
0 2 0001 0.000156985871271586
0 2 0010 0.000156985871271586
0 2 0011 1e-04
0 2 0100 0.0010989010989011
0 2 0101 1e-04
0 2 0110 1e-04
0 2 0111 1e-04
0 2 1000 0.00125588697017268
0 2 1001 1e-04
0 2 1010 1e-04
0 2 1011 1e-04
0 2 1100 1e-04
0 2 1101 1e-04
0 2 1111 1e-04
7 1 0000 0.642753036437247
7 1 0001 0.00048582995951417
7 1 0010 0.020080971659919
7 1 0011 0.00291497975708502
7 1 0100 0.33004048582996
7 1 0101 0.000161943319838057
7 1 0110 0.00145748987854251
7 1 0111 0.000323886639676113
7 1 1000 0.00097165991902834
7 1 1001 1e-04
7 1 1010 1e-04
7 1 1011 1e-04
7 1 1100 0.000647773279352227
7 1 1101 0.000161943319838057
7 1 1111 1e-04
7 2 0000 0.619138922781942
7 2 0001 0.00174307129161583
7 2 0010 0.0160362558828656
7 2 0011 0.000174307129161583
7 2 0100 0.361164371622799
7 2 0101 0.000522921387484748
7 2 0110 0.000522921387484748
7 2 0111 1e-04
7 2 1000 0.000522921387484748
7 2 1001 1e-04
7 2 1010 1e-04
7 2 1011 1e-04
7 2 1100 0.000174307129161583
7 2 1101 1e-04
7 2 1111 1e-04
14 1 0000 0.905259771594016
14 1 0001 0.0144764355798617
14 1 0010 0.000804246421103426
14 1 0011 0.0381212803603024
14 1 0100 0.00209104069486891
14 1 0101 1e-04
14 1 0110 1e-04
14 1 0111 1e-04
14 1 1000 0.0376387325076403
14 1 1001 0.000804246421103426
14 1 1010 1e-04
14 1 1011 0.000804246421103426
14 1 1100 1e-04
14 1 1101 1e-04
14 1 1111 1e-04
14 2 0000 0.911786693246947
14 2 0001 0.00971841515076003
14 2 0010 0.000332253509427693
14 2 0011 0.0376277099426863
14 2 0100 0.00265802807542155
14 2 0101 1e-04
14 2 0110 1e-04
14 2 0111 1e-04
14 2 1000 0.0362986959049755
14 2 1001 0.000332253509427693
14 2 1010 1e-04
14 2 1011 0.00116288728299693
14 2 1100 8.30633773569233e-05
14 2 1101 1e-04
