Timepoint Replicate Haplotype Freq
0 1 00 0.755289713541667
0 1 01 0.215006510416667
0 1 10 0.0259602864583333
0 1 11 0.00374348958333333
0 2 00 0.827704016443531
0 2 01 0.140992167101828
0 2 10 0.0292483750902728
0 2 11 0.00205544136436865
7 1 00 0.968098523629349
7 1 01 0.0133541063877142
7 1 10 0.0183989910230729
7 1 11 0.000148378959863491
7 2 00 0.967374277534705
7 2 01 0.0147463944255388
7 2 10 0.0176092475557716
7 2 11 0.000270080483984227
14 1 00 0.07082394967772
14 1 01 0.228702337500971
14 1 10 0.668401025083482
14 1 11 0.0320726877378271
14 2 00 0.0658824302566293
14 2 01 0.246147274340354
14 2 10 0.656721322248875
14 2 11 0.0312489731541419
21 1 00 0.147875666727975
21 1 01 0.717951075961008
21 1 10 0.0846974434430752
21 1 11 0.0494758138679419
21 2 00 0.0974393530997305
21 2 01 0.749191374663073
21 2 10 0.104716981132075
21 2 11 0.0486522911051213
28 1 00 0.159998092422147
28 1 01 0.525013114597739
28 1 10 0.142543755067004
28 1 11 0.17244503791311
28 2 00 0.123227817159619
28 2 01 0.500274993889025
28 2 10 0.184307015399658
28 2 11 0.192190173551699
42 1 00 1e-04
42 1 01 0.000663313249682162
42 1 10 0.00011055220828036
42 1 11 0.999226134542037
42 2 00 5.83396534624584e-05
42 2 01 0.00145849133656146
42 2 10 0.00037920774750598
42 2 11 0.99810396126247
72 1 00 1e-04
72 1 01 0.000870132695236024
72 1 10 0.0736349793343485
72 1 11 0.925494887970415
72 2 00 1e-04
72 2 01 0.00116049669258443
72 2 10 0.0870952767784612
72 2 11 0.911744226528954
