OverlapSimulated Frequency Gene GeneLength SiteProportion NumSimulations OverlapEmpirical pvalue
0 186 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
1 799 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
2 1766 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
3 2446 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
4 2122 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
5 1471 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
6 758 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
7 307 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
8 110 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
9 29 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
10 6 4-HA 567 0.744268077601411 10000 9 0.00349999999999995
0 181 6-NA 470 0.7 10000 4 0.4637
1 868 6-NA 470 0.7 10000 4 0.4637
2 1901 6-NA 470 0.7 10000 4 0.4637
3 2413 6-NA 470 0.7 10000 4 0.4637
4 2161 6-NA 470 0.7 10000 4 0.4637
5 1440 6-NA 470 0.7 10000 4 0.4637
6 677 6-NA 470 0.7 10000 4 0.4637
7 266 6-NA 470 0.7 10000 4 0.4637
8 75 6-NA 470 0.7 10000 4 0.4637
9 16 6-NA 470 0.7 10000 4 0.4637
10 2 6-NA 470 0.7 10000 4 0.4637
0 26 other 3458 0.438982070561018 10000 7 0.2929
1 182 other 3458 0.438982070561018 10000 7 0.2929
2 563 other 3458 0.438982070561018 10000 7 0.2929
3 1127 other 3458 0.438982070561018 10000 7 0.2929
4 1602 other 3458 0.438982070561018 10000 7 0.2929
5 1882 other 3458 0.438982070561018 10000 7 0.2929
6 1689 other 3458 0.438982070561018 10000 7 0.2929
7 1255 other 3458 0.438982070561018 10000 7 0.2929
8 839 other 3458 0.438982070561018 10000 7 0.2929
9 457 other 3458 0.438982070561018 10000 7 0.2929
10 237 other 3458 0.438982070561018 10000 7 0.2929
11 90 other 3458 0.438982070561018 10000 7 0.2929
12 37 other 3458 0.438982070561018 10000 7 0.2929
13 9 other 3458 0.438982070561018 10000 7 0.2929
14 2 other 3458 0.438982070561018 10000 7 0.2929
15 3 other 3458 0.438982070561018 10000 7 0.2929
