OverlapSimulated Frequency Gene GeneLength SiteProportion NumSimulations OverlapEmpirical pvalue
14 19 4-HA 567 0.15 10000 9 1
15 180 4-HA 567 0.15 10000 9 1
16 1001 4-HA 567 0.15 10000 9 1
17 2803 4-HA 567 0.15 10000 9 1
18 4000 4-HA 567 0.15 10000 9 1
19 1997 4-HA 567 0.15 10000 9 1
5 2 4-HA 567 0.2 10000 9 0.9948
6 1 4-HA 567 0.2 10000 9 0.9948
7 5 4-HA 567 0.2 10000 9 0.9948
8 44 4-HA 567 0.2 10000 9 0.9948
9 179 4-HA 567 0.2 10000 9 0.9948
10 406 4-HA 567 0.2 10000 9 0.9948
11 932 4-HA 567 0.2 10000 9 0.9948
12 1609 4-HA 567 0.2 10000 9 0.9948
13 2114 4-HA 567 0.2 10000 9 0.9948
14 2121 4-HA 567 0.2 10000 9 0.9948
15 1503 4-HA 567 0.2 10000 9 0.9948
16 766 4-HA 567 0.2 10000 9 0.9948
17 263 4-HA 567 0.2 10000 9 0.9948
18 45 4-HA 567 0.2 10000 9 0.9948
19 10 4-HA 567 0.2 10000 9 0.9948
3 1 4-HA 567 0.25 10000 9 0.853
4 11 4-HA 567 0.25 10000 9 0.853
5 46 4-HA 567 0.25 10000 9 0.853
6 162 4-HA 567 0.25 10000 9 0.853
7 410 4-HA 567 0.25 10000 9 0.853
8 840 4-HA 567 0.25 10000 9 0.853
9 1431 4-HA 567 0.25 10000 9 0.853
10 1929 4-HA 567 0.25 10000 9 0.853
11 1905 4-HA 567 0.25 10000 9 0.853
12 1539 4-HA 567 0.25 10000 9 0.853
13 1018 4-HA 567 0.25 10000 9 0.853
14 474 4-HA 567 0.25 10000 9 0.853
15 175 4-HA 567 0.25 10000 9 0.853
16 44 4-HA 567 0.25 10000 9 0.853
17 13 4-HA 567 0.25 10000 9 0.853
18 2 4-HA 567 0.25 10000 9 0.853
1 1 4-HA 567 0.3 10000 9 0.5686
2 5 4-HA 567 0.3 10000 9 0.5686
3 31 4-HA 567 0.3 10000 9 0.5686
4 115 4-HA 567 0.3 10000 9 0.5686
5 344 4-HA 567 0.3 10000 9 0.5686
6 738 4-HA 567 0.3 10000 9 0.5686
7 1279 4-HA 567 0.3 10000 9 0.5686
8 1801 4-HA 567 0.3 10000 9 0.5686
9 1938 4-HA 567 0.3 10000 9 0.5686
10 1682 4-HA 567 0.3 10000 9 0.5686
11 1088 4-HA 567 0.3 10000 9 0.5686
12 627 4-HA 567 0.3 10000 9 0.5686
13 238 4-HA 567 0.3 10000 9 0.5686
14 84 4-HA 567 0.3 10000 9 0.5686
15 21 4-HA 567 0.3 10000 9 0.5686
16 8 4-HA 567 0.3 10000 9 0.5686
1 3 4-HA 567 0.35 10000 9 0.3248
2 28 4-HA 567 0.35 10000 9 0.3248
3 153 4-HA 567 0.35 10000 9 0.3248
4 441 4-HA 567 0.35 10000 9 0.3248
5 933 4-HA 567 0.35 10000 9 0.3248
6 1474 4-HA 567 0.35 10000 9 0.3248
7 1836 4-HA 567 0.35 10000 9 0.3248
8 1884 4-HA 567 0.35 10000 9 0.3248
9 1502 4-HA 567 0.35 10000 9 0.3248
10 931 4-HA 567 0.35 10000 9 0.3248
11 554 4-HA 567 0.35 10000 9 0.3248
12 197 4-HA 567 0.35 10000 9 0.3248
13 46 4-HA 567 0.35 10000 9 0.3248
14 15 4-HA 567 0.35 10000 9 0.3248
15 3 4-HA 567 0.35 10000 9 0.3248
1 20 4-HA 567 0.4 10000 9 0.1648
2 132 4-HA 567 0.4 10000 9 0.1648
3 397 4-HA 567 0.4 10000 9 0.1648
4 899 4-HA 567 0.4 10000 9 0.1648
5 1515 4-HA 567 0.4 10000 9 0.1648
6 1956 4-HA 567 0.4 10000 9 0.1648
7 1919 4-HA 567 0.4 10000 9 0.1648
8 1514 4-HA 567 0.4 10000 9 0.1648
9 912 4-HA 567 0.4 10000 9 0.1648
10 476 4-HA 567 0.4 10000 9 0.1648
11 178 4-HA 567 0.4 10000 9 0.1648
12 59 4-HA 567 0.4 10000 9 0.1648
13 20 4-HA 567 0.4 10000 9 0.1648
14 3 4-HA 567 0.4 10000 9 0.1648
0 4 4-HA 567 0.45 10000 9 0.0954
1 53 4-HA 567 0.45 10000 9 0.0954
2 286 4-HA 567 0.45 10000 9 0.0954
3 692 4-HA 567 0.45 10000 9 0.0954
4 1414 4-HA 567 0.45 10000 9 0.0954
5 1909 4-HA 567 0.45 10000 9 0.0954
6 2001 4-HA 567 0.45 10000 9 0.0954
7 1590 4-HA 567 0.45 10000 9 0.0954
8 1097 4-HA 567 0.45 10000 9 0.0954
9 588 4-HA 567 0.45 10000 9 0.0954
10 247 4-HA 567 0.45 10000 9 0.0954
11 95 4-HA 567 0.45 10000 9 0.0954
12 19 4-HA 567 0.45 10000 9 0.0954
13 5 4-HA 567 0.45 10000 9 0.0954
0 13 4-HA 567 0.5 10000 9 0.0474
1 138 4-HA 567 0.5 10000 9 0.0474
2 512 4-HA 567 0.5 10000 9 0.0474
3 1136 4-HA 567 0.5 10000 9 0.0474
4 1768 4-HA 567 0.5 10000 9 0.0474
5 2005 4-HA 567 0.5 10000 9 0.0474
6 1859 4-HA 567 0.5 10000 9 0.0474
7 1334 4-HA 567 0.5 10000 9 0.0474
8 761 4-HA 567 0.5 10000 9 0.0474
9 310 4-HA 567 0.5 10000 9 0.0474
10 135 4-HA 567 0.5 10000 9 0.0474
11 20 4-HA 567 0.5 10000 9 0.0474
12 8 4-HA 567 0.5 10000 9 0.0474
13 1 4-HA 567 0.5 10000 9 0.0474
0 32 4-HA 567 0.55 10000 9 0.0284
1 210 4-HA 567 0.55 10000 9 0.0284
2 743 4-HA 567 0.55 10000 9 0.0284
3 1451 4-HA 567 0.55 10000 9 0.0284
4 1999 4-HA 567 0.55 10000 9 0.0284
5 2117 4-HA 567 0.55 10000 9 0.0284
6 1663 4-HA 567 0.55 10000 9 0.0284
7 967 4-HA 567 0.55 10000 9 0.0284
8 534 4-HA 567 0.55 10000 9 0.0284
9 199 4-HA 567 0.55 10000 9 0.0284
10 63 4-HA 567 0.55 10000 9 0.0284
11 19 4-HA 567 0.55 10000 9 0.0284
12 2 4-HA 567 0.55 10000 9 0.0284
13 1 4-HA 567 0.55 10000 9 0.0284
0 55 4-HA 567 0.6 10000 9 0.0137
1 359 4-HA 567 0.6 10000 9 0.0137
2 1034 4-HA 567 0.6 10000 9 0.0137
3 1758 4-HA 567 0.6 10000 9 0.0137
4 2166 4-HA 567 0.6 10000 9 0.0137
5 1970 4-HA 567 0.6 10000 9 0.0137
6 1369 4-HA 567 0.6 10000 9 0.0137
7 770 4-HA 567 0.6 10000 9 0.0137
8 382 4-HA 567 0.6 10000 9 0.0137
9 105 4-HA 567 0.6 10000 9 0.0137
10 24 4-HA 567 0.6 10000 9 0.0137
11 8 4-HA 567 0.6 10000 9 0.0137
0 87 4-HA 567 0.65 10000 9 0.00929999999999997
1 500 4-HA 567 0.65 10000 9 0.00929999999999997
2 1340 4-HA 567 0.65 10000 9 0.00929999999999997
3 2043 4-HA 567 0.65 10000 9 0.00929999999999997
4 2172 4-HA 567 0.65 10000 9 0.00929999999999997
5 1839 4-HA 567 0.65 10000 9 0.00929999999999997
6 1164 4-HA 567 0.65 10000 9 0.00929999999999997
