Gene NumSitesTotal NumUniqueData NumUniqueSimulated Frequency GeneLength SiteProportion NumSimulations pvalue
4-HA 26 19 19 1 567 0.744268077601411 100000 9.99999999995449e-06
4-HA 26 19 21 11 567 0.744268077601411 100000 9.99999999995449e-06
4-HA 26 19 22 154 567 0.744268077601411 100000 9.99999999995449e-06
4-HA 26 19 23 1485 567 0.744268077601411 100000 9.99999999995449e-06
4-HA 26 19 24 9539 567 0.744268077601411 100000 9.99999999995449e-06
4-HA 26 19 25 34501 567 0.744268077601411 100000 9.99999999995449e-06
4-HA 26 19 26 54309 567 0.744268077601411 100000 9.99999999995449e-06
6-NA 20 17 16 28 470 0.7 100000 0.00482000000000005
6-NA 20 17 17 454 470 0.7 100000 0.00482000000000005
6-NA 20 17 18 4846 470 0.7 100000 0.00482000000000005
6-NA 20 17 19 27913 470 0.7 100000 0.00482000000000005
6-NA 20 17 20 66759 470 0.7 100000 0.00482000000000005
8-NEP 6 5 3 4 142 0.628787878787879 100000 0.11778
8-NEP 6 5 4 360 142 0.628787878787879 100000 0.11778
8-NEP 6 5 5 11414 142 0.628787878787879 100000 0.11778
8-NEP 6 5 6 88222 142 0.628787878787879 100000 0.11778
8-NS1 9 8 6 10 231 0.783549783549784 100000 0.1211
8-NS1 9 8 7 477 231 0.783549783549784 100000 0.1211
8-NS1 9 8 8 11623 231 0.783549783549784 100000 0.1211
8-NS1 9 8 9 87890 231 0.783549783549784 100000 0.1211
