Gene NumSitesTotal NumUniqueData NumUniqueSimulated Frequency GeneLength SiteProportion NumSimulations pvalue
4-HA 26 19 11 1 567 0.05 100000 0.78811
4-HA 26 19 12 4 567 0.05 100000 0.78811
4-HA 26 19 13 60 567 0.05 100000 0.78811
4-HA 26 19 14 481 567 0.05 100000 0.78811
4-HA 26 19 15 2527 567 0.05 100000 0.78811
4-HA 26 19 16 8277 567 0.05 100000 0.78811
4-HA 26 19 17 17947 567 0.05 100000 0.78811
4-HA 26 19 18 25574 567 0.05 100000 0.78811
4-HA 26 19 19 23940 567 0.05 100000 0.78811
4-HA 26 19 20 14186 567 0.05 100000 0.78811
4-HA 26 19 21 5510 567 0.05 100000 0.78811
4-HA 26 19 22 1261 567 0.05 100000 0.78811
4-HA 26 19 23 216 567 0.05 100000 0.78811
4-HA 26 19 24 15 567 0.05 100000 0.78811
4-HA 26 19 25 1 567 0.05 100000 0.78811
4-HA 26 19 14 1 567 0.1 100000 0.05851
4-HA 26 19 15 2 567 0.1 100000 0.05851
4-HA 26 19 16 37 567 0.1 100000 0.05851
4-HA 26 19 17 221 567 0.1 100000 0.05851
4-HA 26 19 18 1142 567 0.1 100000 0.05851
4-HA 26 19 19 4448 567 0.1 100000 0.05851
4-HA 26 19 20 11572 567 0.1 100000 0.05851
4-HA 26 19 21 20881 567 0.1 100000 0.05851
4-HA 26 19 22 25723 567 0.1 100000 0.05851
4-HA 26 19 23 21109 567 0.1 100000 0.05851
4-HA 26 19 24 11152 567 0.1 100000 0.05851
4-HA 26 19 25 3297 567 0.1 100000 0.05851
4-HA 26 19 26 415 567 0.1 100000 0.05851
4-HA 26 19 15 1 567 0.15 100000 0.00695000000000001
4-HA 26 19 16 3 567 0.15 100000 0.00695000000000001
4-HA 26 19 17 10 567 0.15 100000 0.00695000000000001
4-HA 26 19 18 110 567 0.15 100000 0.00695000000000001
4-HA 26 19 19 571 567 0.15 100000 0.00695000000000001
4-HA 26 19 20 2631 567 0.15 100000 0.00695000000000001
4-HA 26 19 21 8288 567 0.15 100000 0.00695000000000001
4-HA 26 19 22 18227 567 0.15 100000 0.00695000000000001
4-HA 26 19 23 26953 567 0.15 100000 0.00695000000000001
4-HA 26 19 24 26004 567 0.15 100000 0.00695000000000001
4-HA 26 19 25 13806 567 0.15 100000 0.00695000000000001
4-HA 26 19 26 3396 567 0.15 100000 0.00695000000000001
4-HA 26 19 17 1 567 0.2 100000 0.00131999999999999
4-HA 26 19 18 15 567 0.2 100000 0.00131999999999999
4-HA 26 19 19 116 567 0.2 100000 0.00131999999999999
4-HA 26 19 20 712 567 0.2 100000 0.00131999999999999
4-HA 26 19 21 3127 567 0.2 100000 0.00131999999999999
4-HA 26 19 22 10390 567 0.2 100000 0.00131999999999999
4-HA 26 19 23 21814 567 0.2 100000 0.00131999999999999
4-HA 26 19 24 30537 567 0.2 100000 0.00131999999999999
4-HA 26 19 25 24441 567 0.2 100000 0.00131999999999999
4-HA 26 19 26 8847 567 0.2 100000 0.00131999999999999
4-HA 26 19 18 3 567 0.25 100000 0.000369999999999981
4-HA 26 19 19 34 567 0.25 100000 0.000369999999999981
4-HA 26 19 20 211 567 0.25 100000 0.000369999999999981
4-HA 26 19 21 1398 567 0.25 100000 0.000369999999999981
4-HA 26 19 22 5745 567 0.25 100000 0.000369999999999981
4-HA 26 19 23 16116 567 0.25 100000 0.000369999999999981
4-HA 26 19 24 30068 567 0.25 100000 0.000369999999999981
4-HA 26 19 25 31700 567 0.25 100000 0.000369999999999981
4-HA 26 19 26 14725 567 0.25 100000 0.000369999999999981
4-HA 26 19 19 13 567 0.3 100000 0.000129999999999963
4-HA 26 19 20 92 567 0.3 100000 0.000129999999999963
4-HA 26 19 21 619 567 0.3 100000 0.000129999999999963
4-HA 26 19 22 3479 567 0.3 100000 0.000129999999999963
4-HA 26 19 23 12010 567 0.3 100000 0.000129999999999963
4-HA 26 19 24 26852 567 0.3 100000 0.000129999999999963
4-HA 26 19 25 36108 567 0.3 100000 0.000129999999999963
4-HA 26 19 26 20827 567 0.3 100000 0.000129999999999963
4-HA 26 19 19 2 567 0.35 100000 2.000000000002e-05
4-HA 26 19 20 44 567 0.35 100000 2.000000000002e-05
4-HA 26 19 21 351 567 0.35 100000 2.000000000002e-05
4-HA 26 19 22 2112 567 0.35 100000 2.000000000002e-05
4-HA 26 19 23 9018 567 0.35 100000 2.000000000002e-05
4-HA 26 19 24 23916 567 0.35 100000 2.000000000002e-05
4-HA 26 19 25 38172 567 0.35 100000 2.000000000002e-05
4-HA 26 19 26 26385 567 0.35 100000 2.000000000002e-05
4-HA 26 19 19 5 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 20 22 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 21 219 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 22 1367 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 23 6688 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 24 21101 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 25 38976 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 26 31622 567 0.4 100000 4.99999999999945e-05
4-HA 26 19 19 1 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 20 9 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 21 102 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 22 954 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 23 5164 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 24 18862 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 25 39200 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 26 35708 567 0.45 100000 9.99999999995449e-06
4-HA 26 19 20 7 567 0.5 100000 0
4-HA 26 19 21 71 567 0.5 100000 0
4-HA 26 19 22 652 567 0.5 100000 0
4-HA 26 19 23 4190 567 0.5 100000 0
4-HA 26 19 24 16692 567 0.5 100000 0
4-HA 26 19 25 38568 567 0.5 100000 0
4-HA 26 19 26 39820 567 0.5 100000 0
4-HA 26 19 20 5 567 0.55 100000 0
4-HA 26 19 21 57 567 0.55 100000 0
4-HA 26 19 22 490 567 0.55 100000 0
4-HA 26 19 23 3182 567 0.55 100000 0
4-HA 26 19 24 14710 567 0.55 100000 0
4-HA 26 19 25 37934 567 0.55 100000 0
4-HA 26 19 26 43622 567 0.55 100000 0
4-HA 26 19 19 1 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 20 1 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 21 35 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 22 366 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 23 2601 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 24 13043 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 25 37229 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 26 46724 567 0.6 100000 9.99999999995449e-06
4-HA 26 19 21 22 567 0.65 100000 0
4-HA 26 19 22 272 567 0.65 100000 0
4-HA 26 19 23 2194 567 0.65 100000 0
4-HA 26 19 24 11627 567 0.65 100000 0
