BioSample Replicate Chr BinnedPos AvgCoverage AvgChr
A00A-NW 1 1-PB2 0 25206.5306122449 1-PB2
A00A-NW 1 1-PB2 50 32351.52 1-PB2
A00A-NW 1 1-PB2 100 36136.48 1-PB2
A00A-NW 1 1-PB2 150 35772.34 1-PB2
A00A-NW 1 1-PB2 200 36071.56 1-PB2
A00A-NW 1 1-PB2 250 32322.56 1-PB2
A00A-NW 1 1-PB2 300 29663.22 1-PB2
A00A-NW 1 1-PB2 350 26582.66 1-PB2
A00A-NW 1 1-PB2 400 24118.94 1-PB2
A00A-NW 1 1-PB2 450 22056.1 1-PB2
A00A-NW 1 1-PB2 500 20907.42 1-PB2
A00A-NW 1 1-PB2 550 21302.74 1-PB2
A00A-NW 1 1-PB2 600 22580.12 1-PB2
A00A-NW 1 1-PB2 650 24191.56 1-PB2
A00A-NW 1 1-PB2 700 25243.62 1-PB2
A00A-NW 1 1-PB2 750 26539.64 1-PB2
A00A-NW 1 1-PB2 800 27040.4 1-PB2
A00A-NW 1 1-PB2 850 25387.54 1-PB2
A00A-NW 1 1-PB2 900 23508.62 1-PB2
A00A-NW 1 1-PB2 950 23623.82 1-PB2
A00A-NW 1 1-PB2 1000 23023.94 1-PB2
A00A-NW 1 1-PB2 1050 22668.98 1-PB2
A00A-NW 1 1-PB2 1100 21883.38 1-PB2
A00A-NW 1 1-PB2 1150 22063.66 1-PB2
A00A-NW 1 1-PB2 1200 20274.68 1-PB2
A00A-NW 1 1-PB2 1250 20432.62 1-PB2
A00A-NW 1 1-PB2 1300 21030.22 1-PB2
A00A-NW 1 1-PB2 1350 23251.92 1-PB2
A00A-NW 1 1-PB2 1400 26246.08 1-PB2
A00A-NW 1 1-PB2 1450 29483.2 1-PB2
A00A-NW 1 1-PB2 1500 30370.34 1-PB2
A00A-NW 1 1-PB2 1550 28181.34 1-PB2
A00A-NW 1 1-PB2 1600 25839.8 1-PB2
A00A-NW 1 1-PB2 1650 24175.3 1-PB2
A00A-NW 1 1-PB2 1700 22193.5 1-PB2
A00A-NW 1 1-PB2 1750 22306.44 1-PB2
A00A-NW 1 1-PB2 1800 25045.14 1-PB2
A00A-NW 1 1-PB2 1850 27339.94 1-PB2
A00A-NW 1 1-PB2 1900 28031.98 1-PB2
A00A-NW 1 1-PB2 1950 28781.12 1-PB2
A00A-NW 1 1-PB2 2000 30812.42 1-PB2
A00A-NW 1 1-PB2 2050 31147.92 1-PB2
A00A-NW 1 1-PB2 2100 29805.3 1-PB2
A00A-NW 1 1-PB2 2150 29999.26 1-PB2
A00A-NW 1 1-PB2 2200 26588.22 1-PB2
A00A-NW 1 1-PB2 2250 17819.0465116279 1-PB2
A00A-NW 1 2-PB1 2250 7504.71428571429 2-PB1
A00A-NW 1 2-PB1 2300 12664.92 2-PB1
A00A-NW 1 2-PB1 2350 22029.82 2-PB1
A00A-NW 1 2-PB1 2400 29612.26 2-PB1
A00A-NW 1 2-PB1 2450 29145.22 2-PB1
A00A-NW 1 2-PB1 2500 27801.72 2-PB1
A00A-NW 1 2-PB1 2550 23537.72 2-PB1
A00A-NW 1 2-PB1 2600 20943.34 2-PB1
A00A-NW 1 2-PB1 2650 18129.8 2-PB1
A00A-NW 1 2-PB1 2700 14725.64 2-PB1
A00A-NW 1 2-PB1 2750 14333.66 2-PB1
A00A-NW 1 2-PB1 2800 14246.94 2-PB1
A00A-NW 1 2-PB1 2850 13888.72 2-PB1
A00A-NW 1 2-PB1 2900 12555.98 2-PB1
A00A-NW 1 2-PB1 2950 11310.1 2-PB1
A00A-NW 1 2-PB1 3000 10763.46 2-PB1
A00A-NW 1 2-PB1 3050 10253.6 2-PB1
A00A-NW 1 2-PB1 3100 9913.46 2-PB1
A00A-NW 1 2-PB1 3150 10695.14 2-PB1
A00A-NW 1 2-PB1 3200 11590.46 2-PB1
A00A-NW 1 2-PB1 3250 13112.28 2-PB1
A00A-NW 1 2-PB1 3300 13818.2 2-PB1
A00A-NW 1 2-PB1 3350 15239.36 2-PB1
A00A-NW 1 2-PB1 3400 15326.56 2-PB1
A00A-NW 1 2-PB1 3450 15690.96 2-PB1
A00A-NW 1 2-PB1 3500 17137.86 2-PB1
A00A-NW 1 2-PB1 3550 17818.68 2-PB1
A00A-NW 1 2-PB1 3600 17276.92 2-PB1
A00A-NW 1 2-PB1 3650 15435 2-PB1
A00A-NW 1 2-PB1 3700 15312.42 2-PB1
A00A-NW 1 2-PB1 3750 15346.04 2-PB1
A00A-NW 1 2-PB1 3800 16575.28 2-PB1
A00A-NW 1 2-PB1 3850 18124 2-PB1
A00A-NW 1 2-PB1 3900 18646.84 2-PB1
A00A-NW 1 2-PB1 3950 20267.52 2-PB1
A00A-NW 1 2-PB1 4000 18734.38 2-PB1
A00A-NW 1 2-PB1 4050 18391.92 2-PB1
A00A-NW 1 2-PB1 4100 17678.92 2-PB1
A00A-NW 1 2-PB1 4150 18225.64 2-PB1
A00A-NW 1 2-PB1 4200 18542.2 2-PB1
A00A-NW 1 2-PB1 4250 19533.3 2-PB1
A00A-NW 1 2-PB1 4300 20469.62 2-PB1
A00A-NW 1 2-PB1 4350 19622.7 2-PB1
A00A-NW 1 2-PB1 4400 19050.44 2-PB1
A00A-NW 1 2-PB1 4450 16919.76 2-PB1
A00A-NW 1 2-PB1 4500 12297.86 2-PB1
A00A-NW 1 2-PB1 4550 7297.21428571429 2-PB1
A00A-NW 1 3-PA 4550 3015 3-PA
A00A-NW 1 3-PA 4600 3928.9 3-PA
A00A-NW 1 3-PA 4650 5913.08 3-PA
A00A-NW 1 3-PA 4700 7666.1 3-PA
A00A-NW 1 3-PA 4750 8503.16 3-PA
A00A-NW 1 3-PA 4800 9143.6 3-PA
A00A-NW 1 3-PA 4850 8352.24 3-PA
A00A-NW 1 3-PA 4900 7511.9 3-PA
A00A-NW 1 3-PA 4950 6870.54 3-PA
A00A-NW 1 3-PA 5000 6033.28 3-PA
A00A-NW 1 3-PA 5050 5833.2 3-PA
A00A-NW 1 3-PA 5100 5730.84 3-PA
A00A-NW 1 3-PA 5150 5367.04 3-PA
A00A-NW 1 3-PA 5200 5256.36 3-PA
A00A-NW 1 3-PA 5250 4839.72 3-PA
A00A-NW 1 3-PA 5300 4811.7 3-PA
A00A-NW 1 3-PA 5350 5434.64 3-PA
A00A-NW 1 3-PA 5400 6012.38 3-PA
A00A-NW 1 3-PA 5450 5996.78 3-PA
A00A-NW 1 3-PA 5500 5765.62 3-PA
A00A-NW 1 3-PA 5550 5214.78 3-PA
A00A-NW 1 3-PA 5600 5101.14 3-PA
A00A-NW 1 3-PA 5650 4951.16 3-PA
A00A-NW 1 3-PA 5700 5356.66 3-PA
A00A-NW 1 3-PA 5750 6318 3-PA
A00A-NW 1 3-PA 5800 7606.78 3-PA
A00A-NW 1 3-PA 5850 9561.06 3-PA
A00A-NW 1 3-PA 5900 9800.66 3-PA
A00A-NW 1 3-PA 5950 9533.14 3-PA
A00A-NW 1 3-PA 6000 8967.26 3-PA
A00A-NW 1 3-PA 6050 8963.24 3-PA
A00A-NW 1 3-PA 6100 8718.7 3-PA
A00A-NW 1 3-PA 6150 7569.8 3-PA
A00A-NW 1 3-PA 6200 7636.24 3-PA
A00A-NW 1 3-PA 6250 7499.8 3-PA
A00A-NW 1 3-PA 6300 7888.26 3-PA
A00A-NW 1 3-PA 6350 8213.98 3-PA
A00A-NW 1 3-PA 6400 8597.66 3-PA
A00A-NW 1 3-PA 6450 9459.78 3-PA
A00A-NW 1 3-PA 6500 10351.96 3-PA
A00A-NW 1 3-PA 6550 10839.18 3-PA
A00A-NW 1 3-PA 6600 11306.2 3-PA
A00A-NW 1 3-PA 6650 10874.36 3-PA
A00A-NW 1 3-PA 6700 8605.68 3-PA
A00A-NW 1 3-PA 6750 4814.48484848485 3-PA
A00A-NW 1 4-HA 6750 43669.8235294118 4-HA
A00A-NW 1 4-HA 6800 64711.8 4-HA
A00A-NW 1 4-HA 6850 89191.66 4-HA
A00A-NW 1 4-HA 6900 100287.26 4-HA
A00A-NW 1 4-HA 6950 104415.58 4-HA
A00A-NW 1 4-HA 7000 110452.9 4-HA
A00A-NW 1 4-HA 7050 110201.94 4-HA
A00A-NW 1 4-HA 7100 111393.52 4-HA
A00A-NW 1 4-HA 7150 99774.32 4-HA
A00A-NW 1 4-HA 7200 90092.1 4-HA
A00A-NW 1 4-HA 7250 85662.92 4-HA
A00A-NW 1 4-HA 7300 82199.26 4-HA
A00A-NW 1 4-HA 7350 88708.78 4-HA
